StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
2013-11-20 01:41:14,987.0,4784.95,8.23,320,4.85
2013-11-20 14:37:44,669.19,4671.96,11.34,320,6.98
2013-11-20 15:47:49,1809.38,14654.63,13.49,557,8.1
2013-11-21 00:20:39,1743.61,14129.48,11.74,576,8.1
2013-11-21 01:55:44,3.55,2.09,0.12,0,0.59
2013-11-21 14:35:17,666.61,4767.91,11.65,458,7.15
2013-11-21 15:48:09,1743.95,14642.49,12.83,573,8.4
2013-11-22 00:09:16,1712.82,14092.57,13.69,560,8.23
2013-11-22 01:37:52,837.0,4471.05,10.82,276,5.34
2013-11-26 14:37:04,580.03,4727.85,14.02,315,8.15
2013-11-26 15:47:25,1685.2,14655.01,12.56,619,8.7
2013-11-27 00:21:07,1616.39,14131.23,12.68,609,8.74
2013-11-27 01:39:42,810.34,4803.85,10.85,296,5.93
2013-12-01 23:12:10,846.22,1637.1,4.32,84,1.93
2013-12-02 14:35:39,649.8,4684.39,12.86,116,7.21
2013-12-02 15:48:00,1719.81,14630.73,12.63,600,8.51
2013-12-03 00:18:47,1658.5,14153.5,11.45,589,8.53
2013-12-03 01:39:58,897.87,4820.15,8.93,250,5.37
2013-12-03 14:36:44,626.71,4726.34,11.75,202,7.54
2013-12-03 15:50:20,1575.31,14410.07,14.14,597,9.15
2013-12-04 00:06:18,1767.46,14126.67,11.2,524,7.99
2013-12-04 01:40:23,798.46,4492.74,9.03,218,5.63
2013-12-04 14:43:12,637.14,4789.01,13.56,325,7.52
2013-12-04 15:48:11,1746.47,14650.57,11.28,578,8.39
2013-12-05 00:15:55,1741.12,14122.12,11.96,566,8.11
2013-12-05 01:41:14,828.35,4827.9,10.32,222,5.83
2013-12-06 14:47:37,1.42,0.0,2.12,0,0.0
2013-12-06 15:45:55,1698.89,14658.54,12.32,580,8.63
2013-12-07 00:19:57,1586.69,13186.89,11.4,542,8.31
2013-12-07 01:41:10,896.68,4801.79,10.24,228,5.36
2013-12-09 14:38:53,632.79,4734.29,13.15,217,7.48
2013-12-09 15:55:13,1675.55,14654.62,12.32,584,8.75
2013-12-10 00:15:36,1802.5,12863.82,11.98,494,7.14
2013-12-10 01:57:23,816.92,4682.31,10.44,233,5.73
2013-12-11 14:43:33,616.23,4744.84,16.68,233,7.7
2013-12-11 15:52:38,1739.82,14640.86,13.51,562,8.42
2013-12-12 00:21:17,1620.02,14132.18,11.47,587,8.72
2013-12-12 01:38:42,855.84,4825.7,9.53,239,5.64
2013-12-13 14:41:57,626.57,4795.59,12.32,250,7.65
2013-12-13 15:47:56,1676.59,14646.83,12.61,596,8.74
2013-12-14 00:15:12,1634.89,14116.63,12.79,610,8.63
2013-12-14 01:42:12,849.81,4821.09,9.24,242,5.67
2013-12-16 14:42:02,640.68,4693.46,11.93,203,7.33
2013-12-16 15:46:47,1721.15,14650.32,12.03,576,8.51
