,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed,Miles,Minutes,Hours,average_mph,maximum_mph
2013-07-22 23:14:00,1703.02,14104.75,12.51,500.0,8.28,8.76,28.38,0.47,18.53,9.33
2013-07-23 00:42:22,818.24,4517.02,9.03,198.0,5.52,2.81,13.64,0.23,12.35,6.73
2013-07-23 22:24:55,1715.8,14133.87,11.28,546.0,8.24,8.78,28.6,0.48,18.43,8.41
2013-07-24 00:03:43,772.93,4496.6,9.31,206.0,5.82,2.79,12.88,0.21,13.01,6.94
2013-07-25 13:38:55,639.21,4727.68,11.8,292.0,7.4,2.94,10.65,0.18,16.54,8.8
2013-07-25 14:46:46,1573.2,14654.57,14.02,597.0,9.32,9.11,26.22,0.44,20.84,10.45
2013-07-25 23:17:19,1702.51,14120.38,12.08,559.0,8.29,8.77,28.38,0.47,18.55,9.01
2013-07-26 00:46:44,730.29,4495.57,9.18,189.0,6.16,2.79,12.17,0.2,13.77,6.85
2013-07-26 13:42:12,625.54,4614.02,11.51,187.0,7.38,2.87,10.43,0.17,16.5,8.58
2013-07-26 14:51:34,1583.62,14649.39,15.48,596.0,9.25,9.1,26.39,0.44,20.69,11.54
2013-07-26 23:19:57,1672.27,14126.53,11.97,557.0,8.45,8.78,27.87,0.46,18.9,8.93
2013-07-27 00:51:11,736.86,4456.43,9.57,235.0,6.05,2.77,12.28,0.2,13.53,7.14
2013-07-29 13:40:23,648.3,4688.49,12.67,218.0,7.23,2.91,10.8,0.18,16.18,9.45
2013-07-29 14:46:45,1592.75,14646.67,13.49,609.0,9.2,9.1,26.55,0.44,20.57,10.06
2013-07-29 23:16:31,1727.35,14154.93,12.24,568.0,8.19,8.8,28.79,0.48,18.33,9.13
2013-07-30 00:46:39,779.45,4465.55,9.94,248.0,5.73,2.77,12.99,0.22,12.82,7.41
2013-07-30 13:37:41,574.61,4607.0,12.69,184.0,8.02,2.86,9.58,0.16,17.93,9.46
2013-07-30 14:49:53,1631.71,14666.77,14.66,607.0,8.99,9.11,27.2,0.45,20.11,10.93
2013-07-30 23:14:49,1696.58,14134.88,11.09,559.0,8.33,8.78,28.28,0.47,18.64,8.27
2013-07-31 00:43:05,820.91,4491.62,8.65,225.0,5.47,2.79,13.68,0.23,12.24,6.45
2013-07-31 13:42:05,545.76,4676.51,13.2,204.0,8.57,2.91,9.1,0.15,19.17,9.84
2013-07-31 14:48:51,1670.17,14726.91,13.44,597.0,8.82,9.15,27.84,0.46,19.72,10.02
2013-07-31 23:17:32,1754.22,14009.05,32.27,572.0,7.99,8.7,29.24,0.49,17.86,24.06
2013-08-10 21:37:19,6862.64,29403.26,7.14,808.0,4.28,18.27,114.38,1.91,9.58,5.32
2013-08-26 13:42:11,2378.51,19362.49,12.05,776.0,8.14,12.03,39.64,0.66,18.21,8.99
2013-08-26 23:16:11,2570.75,18590.55,12.46,746.0,7.23,11.55,42.85,0.71,16.18,9.29
2013-08-27 13:40:24,667.32,4764.01,11.93,328.0,7.14,2.96,11.12,0.19,15.97,8.9
2013-08-27 14:51:40,1676.17,14640.43,13.29,604.0,8.73,9.1,27.94,0.47,19.54,9.91
2013-08-27 23:19:57,1717.99,14072.97,11.97,505.0,8.19,8.74,28.63,0.48,18.32,8.93
2013-08-28 00:46:38,824.83,4515.58,9.3,210.0,5.47,2.81,13.75,0.23,12.25,6.93
2013-08-28 13:42:07,613.04,4719.12,11.79,305.0,7.7,2.93,10.22,0.17,17.22,8.79
2013-08-28 14:46:42,1728.55,14648.3,13.15,579.0,8.47,9.1,28.81,0.48,18.96,9.81
2013-08-28 23:18:02,1785.79,14117.26,11.33,502.0,7.91,8.77,29.76,0.5,17.68,8.45
2013-08-29 00:50:45,820.64,4464.25,8.79,224.0,5.44,2.77,13.68,0.23,12.17,6.55
2013-08-30 13:38:30,636.03,4675.17,11.43,215.0,7.35,2.91,10.6,0.18,16.44,8.52
2013-08-30 14:50:41,1646.67,14648.56,13.89,600.0,8.9,9.1,27.44,0.46,19.9,10.36
2013-08-30 23:18:56,1672.13,14136.08,11.18,587.0,8.45,8.78,27.87,0.46,18.91,8.34
2013-08-31 00:47:58,791.95,4499.1,8.88,202.0,5.68,2.8,13.2,0.22,12.71,6.62
2013-09-03 13:38:46,686.19,4776.98,12.26,149.0,6.96,2.97,11.44,0.19,15.57,9.14
2013-09-03 14:47:56,1641.17,14639.4,14.57,590.0,8.92,9.1,27.35,0.46,19.95,10.86
2013-09-03 23:19:00,1763.7,14130.83,12.03,525.0,8.01,8.78,29.4,0.49,17.92,8.97
2013-09-04 00:40:40,872.95,4808.08,9.51,253.0,5.51,2.99,14.55,0.24,12.32,7.09
2013-09-04 13:36:25,696.54,4711.73,11.64,150.0,6.76,2.93,11.61,0.19,15.13,8.68
2013-09-04 13:51:32,1682.43,14629.25,13.92,605.0,8.7,9.09,28.04,0.47,19.45,10.38
2013-09-05 00:19:31,1688.86,14109.14,11.86,570.0,8.35,8.77,28.15,0.47,18.69,8.84
2013-09-05 01:51:55,762.07,4517.76,9.09,205.0,5.93,2.81,12.7,0.21,13.26,6.78
2013-09-06 13:36:59,647.29,4694.02,12.93,169.0,7.25,2.92,10.79,0.18,16.22,9.64
2013-09-06 14:50:47,1633.86,14637.45,13.15,602.0,8.96,9.1,27.23,0.45,20.04,9.81
2013-09-06 22:56:23,1707.62,14112.97,11.19,538.0,8.26,8.77,28.46,0.47,18.49,8.34
2013-09-07 00:26:45,786.56,4488.29,8.76,202.0,5.71,2.79,13.11,0.22,12.76,6.53
2013-09-09 13:39:53,662.02,4678.11,12.32,140.0,7.07,2.91,11.03,0.18,15.81,9.19
2013-09-09 14:47:44,1603.79,14652.74,14.43,604.0,9.14,9.1,26.73,0.45,20.44,10.76
2013-09-09 23:23:09,1732.37,14103.41,10.82,524.0,8.14,8.76,28.87,0.48,18.21,8.07
2013-09-10 00:45:09,751.18,4494.92,10.49,224.0,5.98,2.79,12.52,0.21,13.39,7.82
2013-09-10 13:38:24,680.04,4760.24,11.61,163.0,7.0,2.96,11.33,0.19,15.66,8.66
2013-09-10 14:46:56,1631.4,14629.76,13.48,620.0,8.97,9.09,27.19,0.45,20.06,10.05
2013-09-10 23:21:34,1680.51,14116.93,13.98,579.0,8.4,8.77,28.01,0.47,18.79,10.42
2013-09-11 00:49:09,839.68,4519.57,9.48,213.0,5.38,2.81,13.99,0.23,12.04,7.07
2013-09-11 13:41:38,618.52,4609.99,11.36,149.0,7.45,2.86,10.31,0.17,16.67,8.47
2013-09-11 14:48:07,1628.68,14654.58,12.81,623.0,9.0,9.11,27.14,0.45,20.13,9.55
