,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
259,2014-06-30T13:38:12Z,638.06,4680.78,11.57,228.0,7.34
260,2014-06-30T14:45:29Z,1665.4,14631.6,13.5,573.0,8.79
88,2014-06-30T23:22:23Z,1633.25,14107.01,12.03,541.0,8.64
89,2014-07-01T00:41:50Z,885.82,4826.37,9.15,229.0,5.45
469,2014-07-01T13:36:06Z,590.4,4686.59,12.67,190.0,7.94
470,2014-07-01T14:46:11Z,1624.24,14599.61,13.18,577.0,8.99
348,2014-07-01T23:17:47Z,1699.71,14078.63,12.58,566.0,8.28
349,2014-07-02T00:45:50Z,858.4,4819.49,9.7,211.0,5.61
313,2014-07-02T14:46:42Z,1695.0,14630.51,12.04,578.0,8.63
405,2014-07-02T23:23:01Z,1677.4,14127.83,13.61,583.0,8.42
406,2014-07-03T00:40:02Z,825.15,4782.76,9.3,199.0,5.8
491,2014-07-07T13:34:31Z,594.02,4616.84,11.97,285.0,7.77
492,2014-07-07T14:48:47Z,1665.21,14624.02,13.16,594.0,8.78
