,StartTime,TotalTimeSeconds,DistanceMeters,MaximumSpeed,Calories,AverageSpeed
323,2013-11-18T14:38:15Z,618.42,4762.67,12.39,290.0,7.7
324,2013-11-18T15:48:49Z,1655.96,14619.25,12.79,633.0,8.83
231,2013-11-19T00:12:32Z,1640.88,14140.73,11.57,570.0,8.62
232,2013-11-19T01:40:04Z,843.03,4496.64,9.84,264.0,5.33
205,2013-11-19T14:37:29Z,634.45,4769.3,11.98,268.0,7.52
206,2013-11-19T15:47:07Z,1766.68,14633.5,11.19,574.0,8.28
274,2013-11-20T00:20:55Z,1660.8,14113.52,11.92,566.0,8.5
275,2013-11-20T01:41:14Z,987.0,4784.95,8.23,320.0,4.85
162,2013-11-20T14:37:44Z,669.19,4671.96,11.34,320.0,6.98
163,2013-11-20T15:47:49Z,1809.38,14654.63,13.49,557.0,8.1
352,2013-11-21T00:20:39Z,1743.61,14129.48,11.74,576.0,8.1
353,2013-11-21T01:55:44Z,3.55,2.09,0.12,0.0,0.59
